"folder_id","folder_name","working_folder_path","source_anchor_examples","path_locked","operating_artifacts_visible","adult_moves_named","audience_separation","training_facilitation","coaching_observation","data_permissions","grade_band_differences","slide_alignment","tracker_crosswalk_backlog","main_gap"
"01","01_START_HERE","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/01_START_HERE","01_START_HERE/01_Master_Launch_Kit_Index/01_Master_Launch_Kit_Index.docx","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 01_START_HERE/Master_Read-Me.md; 01_START_HERE/Executive_Overview.md; 01_START_HERE/How_to_Use_This_Bundle.md; 01_START_HERE/Stakeholder_Navigation_Map.md; 01_START_HERE/Implementation_Non-Negotiables.md","N/A | Control layer; live adult-move files sit in 03_TEACHER_IMPLEMENTATION; 09_RESPONSIVE_BEHAVIOR_PLAN; 10_RESTORATIVE_REPAIR; 17_SCHOOLWIDE_ROUTINES; 18_BEHAVIOR_INTERVENTION_LADDER","MET | 01_START_HERE/Master_Read-Me.md; 01_START_HERE/How_to_Use_This_Bundle.md; 01_START_HERE/Stakeholder_Navigation_Map.md","PARTIAL | 01_START_HERE/90-Day_Rollout_At-a-Glance.md; 01_START_HERE/Executive_Overview.md | Detailed facilitation lives in 04_PROFESSIONAL_DEVELOPMENT","PARTIAL | 01_START_HERE/Implementation_Non-Negotiables.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Observation_and_Coaching_Tool.md","PARTIAL | 01_START_HERE/Executive_Overview.md; 14_DATA_TRACKING_AND_APP_READINESS/Dashboard_Indicator_Map.md","GAP | No clearly named system-wide grade-band navigation artifact in 01_START_HERE","PARTIAL | 15_SLIDE_DECK_DRAFTS/90-Day_Rollout_Overview_Deck.md; 15_SLIDE_DECK_DRAFTS/Leadership_Alignment_Deck.md | Needs explicit folder-to-deck source note","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","Add one folder-based navigation map and one system-wide grade-band navigation reference"
"02","02_LEADERSHIP_ALIGNMENT","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/02_LEADERSHIP_ALIGNMENT","02_LEADERSHIP_ALIGNMENT/08_Leadership_Cadence_and_Governance/08_Leadership_Cadence_and_Governance.docx","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 02_LEADERSHIP_ALIGNMENT/90-Day_Leadership_Decision_Map.md; 02_LEADERSHIP_ALIGNMENT/Leadership_Commitments_Needed.md; 02_LEADERSHIP_ALIGNMENT/Decision_Log.md; 02_LEADERSHIP_ALIGNMENT/Scope_Escalation_Pathway.md; 02_LEADERSHIP_ALIGNMENT/Weekly_Leadership_Tactical_Agenda.md","MET | 02_LEADERSHIP_ALIGNMENT/Decision_Log.md; 02_LEADERSHIP_ALIGNMENT/Weekly_Leadership_Tactical_Agenda.md; 02_LEADERSHIP_ALIGNMENT/Scope_Escalation_Pathway.md; 02_LEADERSHIP_ALIGNMENT/Leadership_Commitments_Needed.md","MET | 02_LEADERSHIP_ALIGNMENT/Leadership_Alignment_Brief.md; 02_LEADERSHIP_ALIGNMENT/Principal-Leadership_Team_Talking_Points.md; 02_LEADERSHIP_ALIGNMENT/Matchbook-Specific_Culture_Alignment_Page.md","MET | 02_LEADERSHIP_ALIGNMENT/Leadership_Alignment_Brief.md; 02_LEADERSHIP_ALIGNMENT/Leadership_Presentation_Script.md; 15_SLIDE_DECK_DRAFTS/Leadership_Alignment_Deck.md","MET | 02_LEADERSHIP_ALIGNMENT/Low-Inference_Evidence_Guide.md; 02_LEADERSHIP_ALIGNMENT/Quarterly_Culture_Deep-Dive_Protocol.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Leader_Calibration_Guide.md","PARTIAL | 02_LEADERSHIP_ALIGNMENT/Implementation_Risk_Tracker.md; 02_LEADERSHIP_ALIGNMENT/90-Day_Leadership_Decision_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/Dashboard_Indicator_Map.md | Data implications are attached but not fully localized","N/A | Not a primary grade-band folder","MET | 15_SLIDE_DECK_DRAFTS/Leadership_Alignment_Deck.md; 15_SLIDE_DECK_DRAFTS/90-Day_Rollout_Overview_Deck.md","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","Turn leadership decisions into a dated live checklist tied to downstream folders"
"03","03_TEACHER_IMPLEMENTATION","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/03_TEACHER_IMPLEMENTATION","03_TEACHER_IMPLEMENTATION/10_Teacher_Field_Tool_Bundle/10_Teacher_Field_Tool_Bundle.docx","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 03_TEACHER_IMPLEMENTATION/Teacher_Implementation_Playbook.md; 03_TEACHER_IMPLEMENTATION/Teacher_Quick-Start_Guide.md; 03_TEACHER_IMPLEMENTATION/Teacher_Planning_Checklist.md; 03_TEACHER_IMPLEMENTATION/Daily_Morning_Meeting_SOP.md; 03_TEACHER_IMPLEMENTATION/Message_Board_SOP.md; 03_TEACHER_IMPLEMENTATION/Script_Card_Set.md","MET | 03_TEACHER_IMPLEMENTATION/Daily_Morning_Meeting_SOP.md; 03_TEACHER_IMPLEMENTATION/Value_Practice_SOP.md; 03_TEACHER_IMPLEMENTATION/Student_Voice_SOP.md; 03_TEACHER_IMPLEMENTATION/Script_Card_Set.md; 03_TEACHER_IMPLEMENTATION/Teacher_Troubleshooting_Guide.md","MET | 03_TEACHER_IMPLEMENTATION/Teacher_Quick-Start_Guide.md; 03_TEACHER_IMPLEMENTATION/Teacher_FAQ.md | Teacher-facing surfaces are clearly separated; student and family surfaces live in 11 and 12","PARTIAL | 03_TEACHER_IMPLEMENTATION/Teacher_Quick-Start_Guide.md; 03_TEACHER_IMPLEMENTATION/Teacher_Weekly_Prep_Sheet.md; 04_PROFESSIONAL_DEVELOPMENT/PD_Facilitator_Guide.md | Missing direct substitute and new-hire packaging","PARTIAL | 03_TEACHER_IMPLEMENTATION/Teacher_Troubleshooting_Guide.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Observation_and_Coaching_Tool.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Coaching_Conversation_Guide.md","PARTIAL | 14_DATA_TRACKING_AND_APP_READINESS/Message_Board_Object_Schema.md; 14_DATA_TRACKING_AND_APP_READINESS/Script_Object_Schema.md; 14_DATA_TRACKING_AND_APP_READINESS/Teacher_Burden_Check.md","GAP | No clearly named grade-band quick-card or teacher packet variants in 03_TEACHER_IMPLEMENTATION","MET | 15_SLIDE_DECK_DRAFTS/Teacher_Training_Deck.md; 15_SLIDE_DECK_DRAFTS/Morning_Meeting_Culture_Lab_Training_Deck.md","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","Package the folder as one cohesive teacher packet and add grade-band refinements"
"04","04_PROFESSIONAL_DEVELOPMENT","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/04_PROFESSIONAL_DEVELOPMENT","04_PROFESSIONAL_DEVELOPMENT/09_Staff_Training_and_Onboarding_Pathway/09_Staff_Training_and_Onboarding_Pathway.docx","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 04_PROFESSIONAL_DEVELOPMENT/PD_Facilitator_Guide.md; 04_PROFESSIONAL_DEVELOPMENT/90-Minute_Synchronous_Training_Plan.md; 04_PROFESSIONAL_DEVELOPMENT/Asynchronous_Course_Outline.md; 04_PROFESSIONAL_DEVELOPMENT/Module-by-Module_Learning_Path.md; 04_PROFESSIONAL_DEVELOPMENT/Teacher_Practice_Lab_Guide.md","MET | Differentiated_Adult_Pathways_Map.md separates returning, new-hire, substitute, Tier 2, and leader on-ramps; Adult_Practice_Scenarios.md; Teacher_Practice_Lab_Guide.md","MET | New_Hire_Compressed_Pathway.md; Substitute_Pathway.md; Tier_2_Training_Strand.md fully separate the lanes; Module-by-Module_Learning_Path.md; PD_Facilitator_Guide.md","MET | 04_PROFESSIONAL_DEVELOPMENT/PD_Facilitator_Guide.md; 04_PROFESSIONAL_DEVELOPMENT/90-Minute_Synchronous_Training_Plan.md; 04_PROFESSIONAL_DEVELOPMENT/Asynchronous_Course_Outline.md; 04_PROFESSIONAL_DEVELOPMENT/Teacher_Practice_Lab_Guide.md","PARTIAL | 04_PROFESSIONAL_DEVELOPMENT/PD_Completion_Tracker.md; 04_PROFESSIONAL_DEVELOPMENT/Teacher_Practice_Lab_Guide.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Teacher_Growth_Conference_Template.md","PARTIAL | 04_PROFESSIONAL_DEVELOPMENT/PD_Completion_Tracker.md; 14_DATA_TRACKING_AND_APP_READINESS/Stakeholder_Permissions_Map.md","N/A | Not a primary grade-band folder","MET | 15_SLIDE_DECK_DRAFTS/Teacher_Training_Deck.md; 15_SLIDE_DECK_DRAFTS/Culture_Camp_Launch_Deck.md; 15_SLIDE_DECK_DRAFTS/Morning_Meeting_Culture_Lab_Training_Deck.md","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","CLOSED 2026-06-03: Differentiated_Adult_Pathways_Map.md; New_Hire_Compressed_Pathway.md; Substitute_Pathway.md; Tier_2_Training_Strand.md add the separated adult-training strands"
"05","05_CULTURE_CAMP","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/05_CULTURE_CAMP","N/A | Folder is the working set; no nested source anchor currently visible","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 05_CULTURE_CAMP/Culture_Camp_10-Day_Launch_Kit.md; 05_CULTURE_CAMP/Day-by-Day_Teacher_Guide.md; 05_CULTURE_CAMP/Day-by-Day_Student_Practice_Plan.md; 05_CULTURE_CAMP/Culture_Camp_Message_Boards.md; 05_CULTURE_CAMP/Day_10_Readiness_Review.md","MET | 05_CULTURE_CAMP/Day-by-Day_Teacher_Guide.md; 05_CULTURE_CAMP/Culture_Camp_10-Day_Launch_Kit.md; 05_CULTURE_CAMP/Culture_Camp_Reteach_Plan.md; 05_CULTURE_CAMP/Culture_Camp_Fidelity_Checklist.md","MET | 05_CULTURE_CAMP/Day-by-Day_Teacher_Guide.md; 05_CULTURE_CAMP/Day-by-Day_Student_Practice_Plan.md; 05_CULTURE_CAMP/Culture_Camp_Leadership_Walkthrough_Tool.md; 05_CULTURE_CAMP/Culture_Camp_Family_Communication.md","MET | 05_CULTURE_CAMP/Culture_Camp_Overview.md; 05_CULTURE_CAMP/Culture_Camp_10-Day_Launch_Kit.md; 05_CULTURE_CAMP/Day-by-Day_Teacher_Guide.md; 15_SLIDE_DECK_DRAFTS/Culture_Camp_Launch_Deck.md","MET | 05_CULTURE_CAMP/Culture_Camp_Fidelity_Checklist.md; 05_CULTURE_CAMP/Culture_Camp_Leadership_Walkthrough_Tool.md; 05_CULTURE_CAMP/Day_10_Readiness_Review.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Culture_Camp_Fidelity_Tool.md","PARTIAL | 05_CULTURE_CAMP/Day_10_Readiness_Review.md; 14_DATA_TRACKING_AND_APP_READINESS/App_Module_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/Dashboard_Indicator_Map.md","PARTIAL | Grade-band moves now named in Houses_Launch_SOP.md; Sorting_Ritual_Run_of_Show.md; First_House_Meeting_Guide.md | A full banded Culture Camp sequence remains optional","MET | 15_SLIDE_DECK_DRAFTS/Culture_Camp_Launch_Deck.md; 06_MORNING_MEETING_CULTURE_LAB/Culture Camp Launch Deck.pdf","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","CLOSED 2026-06-03: Houses_Launch_SOP.md; Sorting_Ritual_Run_of_Show.md; First_House_Meeting_Guide.md make the Day 8-10 Houses and Friday Cypher handoff explicit"
"06","06_MORNING_MEETING_CULTURE_LAB","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/06_MORNING_MEETING_CULTURE_LAB","06_MORNING_MEETING_CULTURE_LAB/MW_MorningMeeting_Culture_Lab_Detailed_Bundle.pdf; 06_MORNING_MEETING_CULTURE_LAB/v.2-morning_meeting_interactive_guide.html","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 06_MORNING_MEETING_CULTURE_LAB/MW_MorningMeeting_Culture_Lab_Detailed_Bundle.pdf; 06_MORNING_MEETING_CULTURE_LAB/Morning Meeting Culture Lab Training Deck.pdf; 06_MORNING_MEETING_CULTURE_LAB/v.2-morning_meeting_interactive_guide.html","MET | 06_MORNING_MEETING_CULTURE_LAB/MW_MorningMeeting_Culture_Lab_Detailed_Bundle.pdf; 06_MORNING_MEETING_CULTURE_LAB/v.2-morning_meeting_interactive_guide.html; 06_MORNING_MEETING_CULTURE_LAB/Teacher Training Deck â€” Culture Lab.pdf","PARTIAL | 06_MORNING_MEETING_CULTURE_LAB/MW_MorningMeeting_Culture_Lab_Detailed_Bundle.pdf; 06_MORNING_MEETING_CULTURE_LAB/Morning Meeting Culture Lab Training Deck.pdf | Student and family surfaces largely live in 11 and 12","MET | 06_MORNING_MEETING_CULTURE_LAB/Morning Meeting Culture Lab Training Deck.pdf; 06_MORNING_MEETING_CULTURE_LAB/Teacher Training Deck â€” Culture Lab.pdf; 06_MORNING_MEETING_CULTURE_LAB/v.2-morning_meeting_interactive_guide.html","PARTIAL | 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Morning_Meeting_Walkthrough_Form.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Rubric_Alignment_Crosswalk.md | No dedicated local observation file in 06_MORNING_MEETING_CULTURE_LAB","PARTIAL | 14_DATA_TRACKING_AND_APP_READINESS/Morning_Meeting_Record_Schema.md; 14_DATA_TRACKING_AND_APP_READINESS/Message_Board_Object_Schema.md; 14_DATA_TRACKING_AND_APP_READINESS/Dashboard_Indicator_Map.md","PARTIAL | 06_MORNING_MEETING_CULTURE_LAB/v.2-morning_meeting_interactive_guide.html; 06_MORNING_MEETING_CULTURE_LAB/MW_MorningMeeting_Culture_Lab_Detailed_Bundle.pdf | Grade-band signals appear to exist but are not packaged as a clean folder-level suite","MET | 06_MORNING_MEETING_CULTURE_LAB/Morning Meeting Culture Lab Training Deck.pdf; 15_SLIDE_DECK_DRAFTS/Morning_Meeting_Culture_Lab_Training_Deck.md","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","Convert any critical PDF or HTML-only logic into editable operating docs where needed"
