"folder_id","folder_name","working_folder_path","source_anchor_examples","path_locked","operating_artifacts_visible","adult_moves_named","audience_separation","training_facilitation","coaching_observation","data_permissions","grade_band_differences","slide_alignment","tracker_crosswalk_backlog","main_gap"
"14","14_DATA_TRACKING_AND_APP_READINESS","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/14_DATA_TRACKING_AND_APP_READINESS","14_DATA_TRACKING_AND_APP_READINESS/07_Culture_Data_Architecture/07_Culture_Data_Architecture.docx","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 14_DATA_TRACKING_AND_APP_READINESS/App_Module_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/Backend_Data_Architecture.md; 14_DATA_TRACKING_AND_APP_READINESS/Data_Dictionary.md; 14_DATA_TRACKING_AND_APP_READINESS/Dashboard_Indicator_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/Evidence_Conversion_Logic.md","N/A | Data layer; live adult-move files sit in the operating folders","MET | 14_DATA_TRACKING_AND_APP_READINESS/Stakeholder_Permissions_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/Teacher_Burden_Check.md; 14_DATA_TRACKING_AND_APP_READINESS/Privacy_and_Visibility_Rules.md; 14_DATA_TRACKING_AND_APP_READINESS/App_Data_Privacy_Guardrails.md","PARTIAL | 14_DATA_TRACKING_AND_APP_READINESS/App_Module_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/Data_Dictionary.md; 15_SLIDE_DECK_DRAFTS/App-Data_Architecture_Deck.md | Orientation exists, but there is no dedicated facilitator guide","MET | 14_DATA_TRACKING_AND_APP_READINESS/Observation_Record_Schema.md; 14_DATA_TRACKING_AND_APP_READINESS/Dashboard_Indicator_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/Evidence_Conversion_Logic.md","MET | 14_DATA_TRACKING_AND_APP_READINESS/Backend_Data_Architecture.md; 14_DATA_TRACKING_AND_APP_READINESS/Data_Dictionary.md; 14_DATA_TRACKING_AND_APP_READINESS/Stakeholder_Permissions_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/Recognition_Eligibility_Rules.md","N/A | Not a primary grade-band folder","MET | 15_SLIDE_DECK_DRAFTS/App-Data_Architecture_Deck.md","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","Complete the one-to-one folder-to-data object map and confirm the low-burden field set"
"15","15_SLIDE_DECK_DRAFTS","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/15_SLIDE_DECK_DRAFTS","N/A | Folder is the working set; no nested source anchor currently visible","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 15_SLIDE_DECK_DRAFTS/90-Day_Rollout_Overview_Deck.md; 15_SLIDE_DECK_DRAFTS/Leadership_Alignment_Deck.md; 15_SLIDE_DECK_DRAFTS/Teacher_Training_Deck.md; 15_SLIDE_DECK_DRAFTS/Culture_Camp_Launch_Deck.md; 15_SLIDE_DECK_DRAFTS/App-Data_Architecture_Deck.md","N/A | Slide layer; live adult moves sit in the operating folders","MET | 15_SLIDE_DECK_DRAFTS/Leadership_Alignment_Deck.md; 15_SLIDE_DECK_DRAFTS/Teacher_Training_Deck.md; 15_SLIDE_DECK_DRAFTS/Student_Leader_Training_Deck.md; 15_SLIDE_DECK_DRAFTS/Family_Connection_Wheel_Training_Deck.md","MET | 15_SLIDE_DECK_DRAFTS/Teacher_Training_Deck.md; 15_SLIDE_DECK_DRAFTS/Culture_Camp_Launch_Deck.md; 15_SLIDE_DECK_DRAFTS/Friday_Cypher_Training_Deck.md; 15_SLIDE_DECK_DRAFTS/Responsive_Behavior_Plan_Training_Deck.md","PARTIAL | 15_SLIDE_DECK_DRAFTS/Leadership_Alignment_Deck.md; 15_SLIDE_DECK_DRAFTS/Teacher_Training_Deck.md | Coaching content appears, but the observation tools themselves live in 13","PARTIAL | 15_SLIDE_DECK_DRAFTS/App-Data_Architecture_Deck.md | Detailed data and permission logic lives in 14","GAP | No clearly named grade-band deck set in 15_SLIDE_DECK_DRAFTS","PARTIAL | 15_SLIDE_DECK_DRAFTS/90-Day_Rollout_Overview_Deck.md; 15_SLIDE_DECK_DRAFTS/Teacher_Training_Deck.md; 15_SLIDE_DECK_DRAFTS/Friday_Cypher_Training_Deck.md | Decks exist, but source-folder citations are not yet fully explicit","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","Add explicit source-folder citations so decks stop drifting from operating docs"
"16","16_CLAUDE_DESIGN_HANDOFF","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/16_CLAUDE_DESIGN_HANDOFF","N/A | Folder is the working set; no nested source anchor currently visible","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 16_CLAUDE_DESIGN_HANDOFF/Claude_Design_Master_Handoff.md; 16_CLAUDE_DESIGN_HANDOFF/Design_Brief_2026-06-01.md; 16_CLAUDE_DESIGN_HANDOFF/Design_Style_Guide.md; 16_CLAUDE_DESIGN_HANDOFF/Document_Design_Instructions.md; 16_CLAUDE_DESIGN_HANDOFF/Slide_Design_Instructions.md","N/A | Design handoff layer; live adult moves sit in the operating folders","MET | 16_CLAUDE_DESIGN_HANDOFF/Claude_Design_Master_Handoff.md; 16_CLAUDE_DESIGN_HANDOFF/Slide_Design_Instructions.md; 16_CLAUDE_DESIGN_HANDOFF/Document_Design_Instructions.md; 16_CLAUDE_DESIGN_HANDOFF/Bundle_Navigation_Map.md","PARTIAL | 16_CLAUDE_DESIGN_HANDOFF/Claude_Design_Master_Handoff.md; 16_CLAUDE_DESIGN_HANDOFF/Final_Production_Checklist.md | Handoff exists, but no separate design-facilitation workflow by audience","N/A | Not a primary observation or fidelity folder","N/A | Not a primary data-logic folder","N/A | Not a primary grade-band folder","PARTIAL | 16_CLAUDE_DESIGN_HANDOFF/Slide_Design_Instructions.md; 16_CLAUDE_DESIGN_HANDOFF/Claude_Design_Master_Handoff.md | Source-folder references still need to be made explicit throughout","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","Make every design request point back to a source folder and artifact owner"
"17","17_SCHOOLWIDE_ROUTINES","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/17_SCHOOLWIDE_ROUTINES","17_SCHOOLWIDE_ROUTINES/02_Recognition_System_Playbook/02_Recognition_System_Playbook.docx; 17_SCHOOLWIDE_ROUTINES/03_Vertical_Houses_System/03_Vertical_Houses_System.docx; 17_SCHOOLWIDE_ROUTINES/11_Schoolwide_Routines_Playbook/11_Schoolwide_Routines_Playbook.docx","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 17_SCHOOLWIDE_ROUTINES/Schoolwide_Routines_Program_Guide.md; 17_SCHOOLWIDE_ROUTINES/Arrival_and_First_Five_Guide.md; 17_SCHOOLWIDE_ROUTINES/In-Class_Transitions_K-4_Guide.md; 17_SCHOOLWIDE_ROUTINES/Hallway_Transitions_Guide.md; 17_SCHOOLWIDE_ROUTINES/Cafeteria_Routines_Guide.md; 17_SCHOOLWIDE_ROUTINES/Recess_and_Playground_Guide.md","MET | 17_SCHOOLWIDE_ROUTINES/Arrival_and_First_Five_Guide.md; 17_SCHOOLWIDE_ROUTINES/In-Class_Transitions_K-4_Guide.md; 17_SCHOOLWIDE_ROUTINES/Classroom_Exit_Routine_Guide.md; 17_SCHOOLWIDE_ROUTINES/Hallway_Transitions_Guide.md; 17_SCHOOLWIDE_ROUTINES/Cafeteria_Routines_Guide.md","PARTIAL | 17_SCHOOLWIDE_ROUTINES/Schoolwide_Routines_Program_Guide.md | Adult routine guides are strong, but student and family-facing routine surfaces mostly live in 05 and 11","MET | 17_SCHOOLWIDE_ROUTINES/Schoolwide_Routines_Program_Guide.md; 17_SCHOOLWIDE_ROUTINES/Culture_Camp_Routines_Teaching_Sequence.md; 17_SCHOOLWIDE_ROUTINES/Schoolwide_Routines_Walkthrough_Look-Fors.md","MET | 17_SCHOOLWIDE_ROUTINES/Schoolwide_Routines_Walkthrough_Look-Fors.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Observation_and_Coaching_Tool.md","PARTIAL | 14_DATA_TRACKING_AND_APP_READINESS/App_Module_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/Observation_Record_Schema.md | Data implications are attached next door, not localized here","PARTIAL | 17_SCHOOLWIDE_ROUTINES/In-Class_Transitions_K-4_Guide.md | Some banding exists, but there is no full K-2, 3-5, 6-8 routine suite","PARTIAL | 15_SLIDE_DECK_DRAFTS/Morning_Meeting_Culture_Lab_Training_Deck.md; 15_SLIDE_DECK_DRAFTS/Friday_Cypher_Training_Deck.md | No dedicated Schoolwide Routines deck","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","PARTIAL 2026-06-03: Houses and Recognition source anchors operationalized into House_Origin_Story_and_Mantra_Brief.md; House_Visual_Identity_Brief.md; Staff_Ownership_Map.md; Cardinal_Cash_and_LiveSchool_Operating_Guide.md; Point_Deduction_and_Redemption_Rules.md; Monthly_Equity_Audit_Workflow.md. Next: complete schoolwide grade-band routine overlays"
"18","18_BEHAVIOR_INTERVENTION_LADDER","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/18_BEHAVIOR_INTERVENTION_LADDER","18_BEHAVIOR_INTERVENTION_LADDER/12_Behavior_Intervention_Ladder/12_Behavior_Intervention_Ladder.docx","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 18_BEHAVIOR_INTERVENTION_LADDER/Behavior_Intervention_Ladder_Program_Guide.md; 18_BEHAVIOR_INTERVENTION_LADDER/Behavior_Intervention_Ladder_At-a-Glance.md; 18_BEHAVIOR_INTERVENTION_LADDER/Level_0-4_Adult_Move_Guide.md; 18_BEHAVIOR_INTERVENTION_LADDER/Take-a-Break_Protocol_Package.md; 18_BEHAVIOR_INTERVENTION_LADDER/Level_5_Decision_Guide.md; 18_BEHAVIOR_INTERVENTION_LADDER/Level_6_OSS_Consideration_Guide.md","MET | 18_BEHAVIOR_INTERVENTION_LADDER/Level_0-4_Adult_Move_Guide.md; 18_BEHAVIOR_INTERVENTION_LADDER/Take-a-Break_Protocol_Package.md; 18_BEHAVIOR_INTERVENTION_LADDER/Level_5_Decision_Guide.md; 18_BEHAVIOR_INTERVENTION_LADDER/Tier_3_Sidecar_Guide.md","PARTIAL | 18_BEHAVIOR_INTERVENTION_LADDER/Behavior_Intervention_Ladder_Program_Guide.md | Adult decision surfaces are strong, but family and student-facing explanation surfaces mostly live outside the folder","MET | 18_BEHAVIOR_INTERVENTION_LADDER/Behavior_Intervention_Ladder_Program_Guide.md; 18_BEHAVIOR_INTERVENTION_LADDER/Behavior_Intervention_Ladder_At-a-Glance.md; 15_SLIDE_DECK_DRAFTS/Responsive_Behavior_Plan_Training_Deck.md","MET | 18_BEHAVIOR_INTERVENTION_LADDER/Behavior_Intervention_Ladder_Walkthrough_Look-Fors.md","MET | 18_BEHAVIOR_INTERVENTION_LADDER/LiveSchool_Auto-Trigger_Map.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Responsive_Plan_App_Field_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/Observation_Record_Schema.md","MET | Behavior_Intervention_Ladder_Scenario_Bank_by_Band.md provides banded calibration scenarios","PARTIAL | 15_SLIDE_DECK_DRAFTS/Responsive_Behavior_Plan_Training_Deck.md | No dedicated Ladder deck clearly named in 15_SLIDE_DECK_DRAFTS","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","PARTIAL 2026-06-03: Behavior_Intervention_Ladder_Scenario_Bank_by_Band.md and Behavior_Response_Chain_Handoff_Map.md added; a dedicated ladder deck remains a 15_SLIDE_DECK_DRAFTS task"
"19","19_ISS_AND_RESTORATIVE_DETENTION","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/19_ISS_AND_RESTORATIVE_DETENTION","19_ISS_AND_RESTORATIVE_DETENTION/13_ISS_and_Restorative_Detention_Procedures/13_ISS_and_Restorative_Detention_Procedures.docx","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 19_ISS_AND_RESTORATIVE_DETENTION/ISS_and_Restorative_Detention_Program_Guide.md; 19_ISS_AND_RESTORATIVE_DETENTION/Lunch_Detention_Teacher-Led_Guide.md; 19_ISS_AND_RESTORATIVE_DETENTION/Lunch_Detention_Restorative_Team-Led_Guide.md; 19_ISS_AND_RESTORATIVE_DETENTION/Half-Day_ISS_Guide.md; 19_ISS_AND_RESTORATIVE_DETENTION/Full-Day_ISS_Guide.md; 19_ISS_AND_RESTORATIVE_DETENTION/Re-Entry_Protocol_Packet.md","MET | 19_ISS_AND_RESTORATIVE_DETENTION/Lunch_Detention_Teacher-Led_Guide.md; 19_ISS_AND_RESTORATIVE_DETENTION/Lunch_Detention_Restorative_Team-Led_Guide.md; 19_ISS_AND_RESTORATIVE_DETENTION/Half-Day_ISS_Guide.md; 19_ISS_AND_RESTORATIVE_DETENTION/Full-Day_ISS_Guide.md; 19_ISS_AND_RESTORATIVE_DETENTION/Re-Entry_Protocol_Packet.md","PARTIAL | 19_ISS_AND_RESTORATIVE_DETENTION/Restorative_Team_Roster_and_Roles.md; 19_ISS_AND_RESTORATIVE_DETENTION/Re-Entry_Protocol_Packet.md | Family-facing explanation surfaces are not fully separated","PARTIAL | 19_ISS_AND_RESTORATIVE_DETENTION/ISS_and_Restorative_Detention_Program_Guide.md; 19_ISS_AND_RESTORATIVE_DETENTION/Re-Entry_Protocol_Packet.md | No dedicated ISS or detention training deck is clearly named","MET | 19_ISS_AND_RESTORATIVE_DETENTION/Level_5_Implementation_Look-Fors.md","PARTIAL | 18_BEHAVIOR_INTERVENTION_LADDER/LiveSchool_Auto-Trigger_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/Observation_Record_Schema.md | Data implications exist, but no local schema or permissions file is clearly named here","MET | Level_5_and_ISS_by_Grade_Band.md provides developmentally appropriate Level 5 variants","GAP | No clearly named ISS or Restorative Detention deck in 15_SLIDE_DECK_DRAFTS","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","PARTIAL 2026-06-03: Level_5_and_ISS_by_Grade_Band.md and 18/Behavior_Response_Chain_Handoff_Map.md tighten the family and re-entry chain; a dedicated training deck remains a 15_SLIDE_DECK_DRAFTS task"
"20","20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER","20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/04_Tier2_and_3_Behavior_Support_Playbook/04_Tier2_and_3_Behavior_Support_Playbook.docx","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/Module_04_Overview.md; 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/Tier_2_and_Tier_3_Local_Threshold_Map.md; 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/CICO_and_DBRC_Alignment_SOP.md; 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/DBRC_to_Culture_Ladder_Crosswalk.md; 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/SST_MTSS_Review_Template.md; 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/Tier_3_Local_Interface.md","MET | 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/CICO_and_DBRC_Alignment_SOP.md; 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/Tier_2_and_Tier_3_Local_Threshold_Map.md; 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/Tier_3_Local_Interface.md; 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/Crisis_Response_and_Ladder_Connection_Guide.md","MET | 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/Module_04_Overview.md; 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/SST_MTSS_Review_Template.md; 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/Family_Communication_Alignment_Pack.md","PARTIAL | 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/Module_04_Overview.md; 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/Family_Communication_Alignment_Pack.md | No dedicated training deck is clearly named","PARTIAL | 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/SST_MTSS_Review_Template.md; 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/Tier_2_and_Tier_3_Local_Threshold_Map.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Observation_and_Coaching_Tool.md","PARTIAL | 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/DBRC_to_Culture_Ladder_Crosswalk.md; 20_TIER2_AND_TIER3_LOCAL_OPERATING_LAYER/Tier_2_and_Tier_3_Local_Threshold_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/App_Module_Map.md | Local logic is strong, but formal schema and permissions are not fully localized here","MET | Tier_2_and_Tier_3_Scenario_Calibration_by_Band.md provides banded Tier 2/3 calibration","GAP | No clearly named Tier 2 or Tier 3 local operating layer deck in 15_SLIDE_DECK_DRAFTS","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","PARTIAL 2026-06-03: Tier_2_and_Tier_3_Scenario_Calibration_by_Band.md adds banded calibration; a dedicated Tier 2/3 deck remains a 15_SLIDE_DECK_DRAFTS task"
